peak_id,peak_name,height_metres,climbing_status,first_ascent_year,first_ascent_country,first_ascent_expedition_id
AMAD,Ama Dablam,6814,Climbed,1961,"New Zealand, USA, UK",AMAD61101
AMPG,Amphu Gyabjen,5630,Climbed,1953,UK,AMPG53101
ANN1,Annapurna I,8091,Climbed,1950,France,ANN150101
ANN2,Annapurna II,7937,Climbed,1960,"UK, Nepal",ANN260101
ANN3,Annapurna III,7555,Climbed,1961,India,ANN361101
ANN4,Annapurna IV,7525,Climbed,1955,W Germany,ANN455101
ANNE,Annapurna I East,8026,Climbed,1974,Spain,ANNE74101
ANNM,Annapurna I Middle,8051,Climbed,1980,W Germany,ANNM80301
ANNS,Annapurna South,7219,Climbed,1964,"Japan, Nepal",ANNS64301
APIM,Api Main,7132,Climbed,1960,"Japan, Nepal",APIM60101
APIW,Api West,7076,Unclimbed,NA,NA,NA
BARU,Baruntse,7152,Climbed,1954,New Zealand,BARU54101
BAUD,Baudha,6672,Climbed,1970,Japan,BAUD70101
BHEM,Bhemdang Ri,6150,Climbed,1964,"Japan, Nepal",BHEM64101
BHRI,Bhrikuti,6476,Climbed,1982,"Japan, Nepal",BHRI82101
BOBA,Bobaye,6808,Climbed,1996,Slovenia,BOBA96301
CHAM,Chamlang,7321,Climbed,1962,"Japan, Nepal",CHAM62101
CHAN,Changla,6563,Climbed,2010,Japan,CHAN10301
CHMN,Chamar North,7165,Climbed,1953,"New Zealand, Nepal",CHMN53101
CHEO,Cheo Himal,6820,Climbed,1991,"Japan, Nepal",CHEO91301
CHOY,Cho Oyu,8188,Climbed,1954,"Austria, Nepal",CHOY54301
CHOB,Chobuje,6686,Climbed,1972,W Germany,CHOB72101
CHOL,Cholatse,6423,Climbed,1982,"USA, UK",CHOL82101
CHOP,Cho Polu,6700,Climbed,1984,Spain,CHOP84301
CHUL,Chulu Central,6584,Climbed,1955,W Germany,CHUL55201
CHUG,Chukyima Go,6258,Climbed,2014,Slovenia,CHUG14301
CHUR,Churen Himal Central,7385,Climbed,1970,Japan,CHUR70301
CHUW,Chulu West,6419,Climbed,1952,Japan,CHUW52301
TAPL,Taple Shikhar,6447,Climbed,1998,"Japan, Nepal",TAPL98301
CTSE,Changtse,7583,Climbed,1982,W Germany,CTSE82301
DHA1,Dhaulagiri I,8167,Climbed,1960,"Switzerland, Austria, W Germany, Nepal",DHA160101
DHA2,Dhaulagiri II,7751,Climbed,1971,"Austria, USA, Nepal",DHA271101
DHA3,Dhaulagiri III,7715,Climbed,1973,W Germany,DHA373301
DHA4,Dhaulagiri IV,7661,Climbed,1975,Japan,DHA475101
DHA5,Dhaulagiri V,7618,Climbed,1975,"Japan, Nepal",DHA575101
DHA6,Dhaulagiri VI,7268,Climbed,1970,Japan,DHA670101
DHAM,Dhampus,6012,Climbed,1960,Austria,DHAM60101
DOGA,Dogari,6536,Unclimbed,NA,NA,NA
PEMK,Pemthang Karpo Ri,6865,Climbed,1955,"Switzerland, Nepal",PEMK55101
DORJ,Dorje Lhakpa,6966,Climbed,1981,"Japan, Nepal",DORJ81301
DRAN,Drangnag Ri,6757,Climbed,1995,"Norway, UK, Nepal",DRAN95101
DROM,Drohmo,6881,Unclimbed,NA,NA,NA
EVER,Everest,8850,Climbed,1953,"New Zealand, India",EVER53101
FANG,Fang,7647,Climbed,1980,"Austria, Nepal",FANG80101
FIRN,Firnkopf,6730,Unclimbed,NA,NA,NA
FIRW,Firnkopf West,6745,Climbed,1987,"Austria, W Germany, Nepal",FIRW87301
GAMA,Gama Peak,7187,Climbed,1970,Japan,GAMA70301
GAN1,Ganesh I,7422,Climbed,1955,"Switzerland, France",GAN155301
GAN3,Ganesh III,7043,Climbed,1979,"Japan, Nepal",GAN379301
GAN2,Ganesh II,7118,Climbed,1981,"W Germany, Nepal",GAN281302
GAN4,Ganesh IV,7104,Climbed,1978,"Japan, Nepal",GAN478301
GAN5,Ganesh V,6770,Climbed,1980,"Japan, Nepal",GAN580101
GAN6,Ganesh VI,6908,Climbed,2000,Japan,GAN600101
GANC,Ganchenpo,6378,Climbed,1971,USA,GANC71302
GAND,Gandharva Chuli,6248,Climbed,2013,Romania,GAND13101
GANG,Gangapurna,7455,Climbed,1965,"W Germany, Nepal",GANG65101
GAUR,Gaurishankar,7135,Climbed,1979,"US, Nepal",GAUR79101
GHUN,Ghustang North,6529,Climbed,1962,"UK, Nepal",GHUN62301
GHUS,Ghustang South,6465,Climbed,2019,"France, Canada, Switzerland, Nepal",GHUS18301
MATA,Matathumba,5767,Climbed,1961,"UK, Nepal",MATA61101
GHYM,Ghyuthumba Main,5806,Climbed,1953,"Austria, Nepal, India",GHYM53301
GIME,Gimmigela Chuli East,7007,Climbed,1993,"Japan, Nepal",GIME93301
GIMM,Gimmigela Chuli,7350,Climbed,1994,"Japan, Nepal",GIMM94301
GLAC,Glacier Dome,7168,Climbed,1964,"Japan, Nepal",GLAC64301
GURJ,Gurja Himal,7193,Climbed,1969,"Japan, Nepal",GURJ69301
GURK,Gurkarpo Ri,6889,Climbed,2007,France,GURK07301
GYAC,Gyachung Kang,7861,Climbed,1964,"Japan, Nepal",GYAC64101
GYAJ,Gyajikang,7074,Climbed,1994,"Japan, Nepal",GYAJ94301
LEOE,Leonpo Gang East,6733,Climbed,1955,"UK, Nepal",LEOE55101
HIME,Himalchuli East,7893,Climbed,1960,Japan,HIME60101
HIML,Himlung Himal,7126,Climbed,1992,"Japan, Nepal",HIML92301
HIMN,Himalchuli North,7331,Climbed,1985,"S Korea, Nepal",HIMN85302
RANI,Rani Peak,6693,Climbed,1970,"Netherlands, Nepal",RANI70101
HIMW,Himalchuli West,7540,Climbed,1978,Japan,HIMW78101
HIUP,Hiunchuli,6434,Climbed,1971,USA,HIUP71301
HNKU,Hongku Chuli,6833,Unclimbed,NA,NA,NA
HONG,Hongde,6556,Climbed,1962,"Japan, Nepal",HONG62101
IMJA,Imjatse,6165,Climbed,1956,"Switzerland, Nepal",IMJA56101
JAGD,Jagdula,5761,Climbed,2013,France,JAGD13101
JANU,Jannu,7711,Climbed,1962,"France, Nepal",JANU62101
JETH,Jethi Bahurani,6850,Climbed,1978,Japan,JETH78101
JONG,Jongsang,7462,Climbed,1930,"Germany, Austria",JONG30101
JUNC,Junction Peak,7133,Unclimbed,NA,NA,NA
KABD,Kabru Dome,6600,Climbed,1982,India,KABD82301
KABN,Kabru North,7338,Climbed,1935,UK,KABN35301
KAG1,Kagmara I,5978,Climbed,1962,"UK, Nepal",KAG162101
KAN1,Kande Hiunchuli North  I,6521,Unclimbed,NA,NA,NA
KAN2,Kande Hiunchuli North  II,6471,Climbed,1980,Switzerland,KAN280101
KANB,Kangbachen,7902,Climbed,1974,Poland,KANB74101
KANC,Kangchenjunga Central,8473,Climbed,1978,Poland,KANC78102
KAND,Kande Hiunchuli,6627,Climbed,1972,Japan,KAND72301
KANG,Kangchenjunga,8586,Climbed,1955,UK,KANG55101
KANS,Kangchenjunga South,8476,Climbed,1978,Poland,KANS78101
KARY,Karyolung,6530,Climbed,1982,"Japan, Nepal",KARY82301
KCHN,Kangchung Nup,6043,Climbed,1953,"UK, New Zealand",KCHN53101
NAYA,Naya Kanga,5863,Climbed,NA,NA,NA
KGUR,Kang Guru,6981,Climbed,1955,W Germany,KGUR55201
KHAT,Khatang,6790,Climbed,1982,"Japan, Nepal",KHAT82301
KHON,Khongma Tse,5798,Climbed,NA,NA,NA
KJER,Kanjeralwa,6612,Climbed,1973,"Japan, Nepal",KJER73101
KJRN,Kanjiroba North,6858,Unclimbed,NA,NA,NA
KJRS,Kanjiroba South,6883,Climbed,1970,Japan,KJRS70301
KOTA,Kotang,6148,Climbed,1982,Inida,KOTA82301
KTEG,Kangtega,6783,Climbed,1963,"New Zealand, USA",KTEG63101
KTSU,Kangtsune,6444,Unclimbed,NA,NA,NA
KUSU,Kusum Kanguru,6370,Climbed,1981,New Zealand,KUSU81302
KWAN,Kwangde,6186,Climbed,1978,Japan,KWAN78301
LAMJ,Lamjung Himal,6983,Climbed,1974,UK,LAMJ74101
LANG,Langtang Lirung,7227,Climbed,1978,"Japan, Nepal",LANG78301
LANR,Langtang Ri,7205,Climbed,1981,"Japan, Nepal",LANR81301
LEON,Leonpo Gang,6979,Climbed,1962,Japan,LEON62101
LHAS,Lha Shamma,6412,Climbed,1962,"UK, Nepal",LHAS62101
LHOT,Lhotse,8516,Climbed,1956,Switzerland,LHOT56101
MUKT,Mukut Himal,6087,Climbed,1967,Netherlands,MUKT67301
LNPO,Langpo,6965,Climbed,1909,UK,LNPO09301
LOBE,Lobuje East,6090,Climbed,1984,"USA, Nepal",LOBE84101
LOBW,Lobuje West,6135,Climbed,1984,Japan,LOBW84301
LSHR,Lhotse Shar,8382,Climbed,1970,Austria,LSHR70101
LSIS,Langshisa Ri,6412,Climbed,1982,"Japan, Nepal",LSIS82101
MACH,Machhapuchhare,6993,Unclimbed,NA,NA,NA
BTAK,Bhairab Takura,6799,Climbed,1960,"Japan, Nepal",BTAK60101
MAK2,Makalu II,7678,Climbed,1954,"UK, Nepal",MAK254301
MAKA,Makalu,8485,Climbed,1955,France,MAKA55101
MANA,Manaslu,8163,Climbed,1956,"Japan, Nepal",MANA56101
MANN,Manaslu North,6994,Climbed,1964,"Netherlands, Austria, Nepal",MANN64301
